Budget Line Item,FY25 Allocation (USD)
A. System Architecture & Core IP Development,250000
B. Ethical Simulation Engine & Scenario Integration,150000
C. Aidan Moral Agent: NLP & Justification Modeling,200000
"D. UI/UX Development (Web, Mobile, Watch)",100000
E. Cybersecurity Framework & Forensics Blueprint,120000
"F. Cloud Infrastructure, Deployment & Storage",80000
G. Pilot Support (CyberEd in a Box + Evaluation),50000
"H. Compliance, Legal, and Documentation",30000
"I. Marketing, Outreach, and Demonstration Tools",40000
J. Program Management + Administrative Overhead,50000
Total FY25 Project Budget,1070000
